"ID","Name","Birthdate","Age","Sex","Civil Status","Purok Number","Household Number","Employment Status","Educational Attainment","Voter's Status","Address","Phone","Residence Status","Years of Stay","Role"
"1","Dela Cruz, Juan","1990-05-14","34","Male","Married","1","001","Employed","College","Registered","Purok 1, Barangay Acmac, Iligan City","09123456781","Owned","10","Head"
"2","Reyes, Maria","1985-09-21","38","Female","Married","1","001","Self-Employed","High School","Registered","Purok 1, Barangay Acmac, Iligan City","09234567892","Owned","10","Spouse"
"3","Santos, Mark Angelo","2000-11-03","23","Male","Single","2","002","Unemployed","College","Not Registered","Purok 2, Barangay Acmac, Iligan City","09345678903","Rented","5","Head"
"4","Gonzales, Angela","1998-07-30","25","Female","Single","2","002","Employed","College","Registered","Purok 2, Barangay Acmac, Iligan City","09456789014","Rented","5","Sibling"
"5","Torres, Rafael","1975-12-15","48","Male","Widowed","3","003","Retired","High School","Registered","Purok 3, Barangay Acmac, Iligan City","09567890125","Owned","20","Head"
"6","Bautista, Elena","1968-02-28","56","Female","Married","4","004","Housewife","Elementary","Registered","Purok 4, Barangay Acmac, Iligan City","09678901236","Owned","30","Spouse"
"7","Cruz, Miguel","2005-06-10","19","Male","Single","4","004","Student","Senior High","Not Registered","Purok 4, Barangay Acmac, Iligan City","09789012347","Owned","19","Child"
"8","Lopez, Carmela","1993-03-19","31","Female","Single","5","005","Self-Employed","College","Registered","Purok 5, Barangay Acmac, Iligan City","09890123458","Rented","8","Head"
"9","Fernandez, Patrick","2002-10-25","21","Male","Single","6","006","Employed","College","Registered","Purok 6, Barangay Acmac, Iligan City","09901234569","Owned","3","Sibling"
"10","Rivera, Sofia","2012-12-01","11","Female","Single","6","006","Student","Elementary","Not Registered","Purok 6, Barangay Acmac, Iligan City","09012345670","Owned","11","Child"
